,Lambda,Process,Server,Dataflow,Datastore,External Entity
allowsClientSideScripting,,x,,,,
anyd.credentialsLife,,,,x,,
anyd.format,,x,x,x,,
anyd.isCredentials,,,,x,,
anyd.isStored,,,,x,,
checkTLSVersiontarget.inputs,,,x,,,
d.isDestEncryptedAtRest,,,,x,,
d.isPII,,,,x,,
d.isSourceEncryptedAtRest,,,,x,,
data,,x,x,x,,
environment,x,x,,,,
handlesResources,,,,x,,
hasDataLeaks,,,,x,,
hasPhysicalAccess,,,,,,x
implementsAPI,x,x,,,,
isResponse,,,,x,,
isShared,,,,,x,
Lifetime.HARDCODED,,,,x,,
Lifetime.LONG,,,,x,,
Lifetime.MANUAL,,,,x,,
Lifetime.UNKNOWN,,,,x,,
protocol,,,x,x,,
sink.control.providesIntegrity,,,,x,,
sink.minTLSVersion,,,,x,,
source.controls.providesIntegrity,,,,x,,
source.inScope,,,,x,,
target.sink.inScope,,,,x,,
tlsVersion,,,,x,,
usesCache,,,x,,,
usesEnvironmentVariables,x,x,x,x,,
usesSessionTokens,,,x,x,,
usesVPN,,,x,x,,
usesXMLParser,,,x,,,
